Sentiment, Time, Tweet
0.3," 	2009-06-12 12:42:16", http://bit.ly/pck2A BGI sale relieves capital concerns over Barclays
0.1," 	2009-06-12 13:07:36", Deputy Credit Manager - Credit Policies | Bank of Communications Co. Ltd. Hong Kong Branch | http://bit.ly/Jqqf7 | #bank
0.4," 	2009-06-12 13:52:04", Growing Stronger From the Crisis: Standard Chartered Global Focus - Power shifts East outlook for dollar oil http://bit.ly/ZoKck
0.1," 	2009-06-12 14:07:02"," RT @choosenick""Less becomes more in product and service design"": http://bit.ly/Vl77Z Pdf magazine from Barclays"
0.1," 	2009-06-12 14:25:57"," The Dollar strengthens before the G8 meeting: ...profit particularly going into the G8 meeting"" HSBC director .. http://tinyurl.com/mt5442"
0.2," 	2009-06-12 14:54:39", Changes - HSBC: Changes - HSBC. HSBC has appointed Simon Hotchin as head of the insurance solutions group in its.. http://tinyurl.com/n47jxt
0.1," 	2009-06-12 15:08:26", FirstRand Boss Nxasana to Battle Citigroup Barclays for Growth in ...: Nxasana 51 was educated at the Univers.. http://bit.ly/qBBbU
0.2," 	2009-06-12 15:08:29", Ping An to Buy Shenzhen Bank Stake for $3.2 Billion: Ping An part owned by HSBC Holdings Plc bought 89 percent.. http://bit.ly/CFDrK
0.2," 	2009-06-12 15:11:54", Ini NIKE di mana li? *busuk* RT @absolutraia: Wow 10% discount more for HSBC on Nike Sale up to 50% off ?!! ngehe! racun bapuk! Tidaaaa ...
0.4," 	2009-06-12 15:34:17", UPDATE HSBC sells joint venture stake MarketWatch: LONDONMarketWatch HSBC Holdings said Friday that it has sold .. http://bit.ly/wnGBN
0.2," 	2009-06-12 15:53:56", Ockham Blackrock and Barclays Team Up in Wealth Management: With the infusion of 6.6 billion dollars in ca.. http://tinyurl.com/mtptlk
0.1," 	2009-06-12 16:00:07", Dividend.com: Best Buy's Price Target Raised by Barclays (BBY) http://www.dividend.com/blog/?p=9700
0.2," 	2009-06-12 16:22:00"," Barclays Wealth ""hopes to be optimistic (about economy) soon"" - see full report at BusinessWeek http://tiny.cc/hh0rD"
0.4," 	2009-06-12 16:23:38", HSBC and PwC to advise Nama http://short.ie/tzq0ei
-0.2," 	2009-06-12 16:41:51", Ugh the offices of the DMV must be the closest things to hell follow by FITs financial aid office and HSBC customer service! Ugh long day!
0.4," 	2009-06-12 16:46:36", NAMA has announced that HSBC has won the contract to give banking and financial advice to the agency. http://short.ie/aeunzx
0.1," 	2009-06-12 16:56:07", RT @Blackberry_News: Verizon CEO confirms Storm2 and Tour on the way: Speaking at the Barclays Capital conference this morning in New.. ...
0.1," 	2009-06-12 17:06:40"," RT @AdahParris: ""National debt will soar to 75% GDP"" - according to dennis turner hsbc - top session this morning"
-0.1," 	2009-06-12 17:26:49", Nets Ink Sponsorship Deal With China-Based Haier who will have a store at the team's new Barclays Center in Brooklyn. http://bit.ly/NoEne
0.2," 	2009-06-12 17:41:16", At what level of fees? RT @IrishTimesBiz: HSBC and PwC to advise Nama http://short.ie/tzq0ei
0.4," 	2009-06-12 18:14:45", HSBC HOLDINGS PLC- HSBC SELLS ITS MERCHANT SERVICES STAKE. HSBC Holdings sold its 49% stake in HSBC Merchant ... http://tinyurl.com/lggru4
0.3," 	2009-06-12 19:18:23", http://twitpic.com/77tg9 - HSBC bank Stratford upon Avon. What a branch!
-0.2," 	2009-06-12 19:52:24", swine flu Barclays chief pockets £22m in single day as bank reaps £8.2bn windfall from funds arm sale :.. http://tinyurl.com/kkzg44
0.3," 	2009-06-12 21:49:52", HK Shares End Up Led By HSBC Chinese Banks On May Loan Data http://bit.ly/CzxEA
0.1," 	2009-06-12 22:13:40", Good luck Jen. RT @jenhawkins: Spoke to Barclays Business competition today am keeping fingers crossed !
-0.1," 	2009-06-13 00:29:30", The Hard Sell: HSBC: The relentless niceness of bank adverts nowadays is getting so wearying that it almost impe.. http://tinyurl.com/nsmn2g
-0.2," 	2009-06-13 00:37:11", More than 400 top executives at Barclays PLC will pocket a total of £380 million - the utter insensitivity off it all. http://bit.ly/blSCw
0.2," 	2009-06-13 00:45:58", Money Saving Tips & E: 30/06 Win A Coaching Session With The Professionals (HSBC Customers) (.. http://cli.gs/Tv00Mb
0.1," 	2009-06-13 01:15:33", San Jose Jobs Bilingual Branch Relationship Banker-Mountain View - HSBC Bank - San Jose CA: Make t.. http://tinyurl.com/nfmoka
0.1," 	2009-06-13 01:16:23", Seattle Jobs Premier Relationship Manager - Mercer Island - HSBC Bank - Seattle WA: Make the Right .. http://tinyurl.com/kseylu
0.1," 	2009-06-13 01:16:25", Seattle Jobs BRM Business Development Officer - Mercer Island - HSBC Bank - Seattle WA: Make the Ri.. http://tinyurl.com/kkfeol
0.1," 	2009-06-13 01:16:33", Seattle Jobs Branch Relationship Banker - Mercer Island - HSBC Bank - Seattle WA: Make the Right Mo.. http://tinyurl.com/llo3b2
-0.3," 	2009-06-13 01:19:43", RT @Convertbond: Let me get this straight Barclays records gain of $3.75 billion buying Lehman in Bankruptcy + $BAC overpays by $5 billi ...
-0.2," 	2009-06-13 01:35:03", Barclays' reliance on investment banking 'to rise' (at FT.com) - http://www.forexglobe.net?p=173
-0.1," 	2009-06-13 01:35:17", @Debonairo ACC & Bell Centre is too corporate...BEST NHL arena in my humble opinion is HSBC home of Buffalo Sabres!!
0.1," 	2009-06-13 01:46:21", Seattle WA - BRM Business Development Officer - Mercer Island - HSBC Bank: Make the Right Move and join a winni.. http://bit.ly/KsHsn
0.1," 	2009-06-13 01:46:22", Seattle WA - Branch Relationship Banker - Mercer Island - HSBC Bank: Make the Right Move and join a winning tea.. http://bit.ly/rfyeG
-0.3," 	2009-06-13 02:42:21", Backlash for PM as bank boss pockets £22million - Herald: Critics rounded on senior Barclays executive Bob Diamo.. http://bit.ly/lRXKD
0.3," 	2009-06-13 02:45:29", NatWest launches student account | Loans Information http://bit.ly/OKnmj
-0.4," 	2009-06-13 04:19:10", RT @Adrigonzo: BlockRock/Barclays to Everyone Else: Our Balls are Too Big to Fail $$ $BLK $BCS http://tinyurl.com/mjalxa |----she's crazy!!!
-0.5," 	2009-06-13 05:09:17", We are just using Barclays as an SIV (off-balance sheet conduit) for all the toxic waste that the Fed got finish.. http://twurl.nl/yzk6pm
-0.3," 	2009-06-13 07:17:20", COMONN PLEAS: Litton Loan Servicing vs. Charles Burtnett etc.; case dismissed. HSBC Bank vs. Leo Lemal etc.; f.. http://bit.ly/h5JAt
-0.4," 	2009-06-13 10:45:03", For HSBC Big Risks Still Loom http://bit.ly/AMpZ9
-0.3," 	2009-06-13 10:57:20", Lehman Still In Dispute With Barclays Over Who Owns What Including Office Furniture http://tinyurl.com/nwl5dk
-0.3," 	2009-06-13 13:18:56", AMEX Bank of America Citibank Capital One and HSBC raising rates on millions of credit-card holders http://tinyurl.com/n2q4p2
0.3," 	2009-06-13 16:04:59", HSBC Bank makes push to Russia's super wealthy - http://tinyurl.com/nyqlrx
-0.2," 	2009-06-13 19:37:02", It's wrong just how satisfying it is shredding three years worth of redundant receipts and Barclays junk mail.
0.1," 	2009-06-13 19:48:51", Investment Counselor (Mandarin/Cantonese speaking) - HSBC CA - Vancouve ...http://jobsurl.com/654ae
0.1," 	2009-06-13 22:18:28", Million £s in a mattress... No just more than one bank acct thank God. And quite a few CCs all of them completely full. Natwest?
-0.1," 	2009-06-13 23:38:29", Guardian business: From NatWest to Nationwide – help me sort out this sort code mess http://bit.ly/TgNvi
-0.4," 	2009-06-14 01:24:27", tg> Lloyds Bank hit by Obama tax purge - Telegraph.co.uk | Barack ...: Lloyds Bank hit by Obama tax purgeT.. http://bit.ly/sE89S
0.1," 	2009-06-14 02:42:34", San Francisco CA - Bilingual Part-Time Branch Customer Service Rep - HSBC Bank: Make the Right Move and join a .. http://bit.ly/ZYzsV
0.4," 	2009-06-14 05:34:01", RBS confirms $2.34 billion Bank of China stake sale: Royal Bank of Scotland (RBS.L) confirmed on Wednesday that .. http://tinyurl.com/kwjp8a
0.1," 	2009-06-14 09:09:53", Senior Sales Managerin/Senior Sales Manager - HSBC Trinkaus - Düsseldo ...http://jobsurl.com/6732e
-0.3," 	2009-06-14 09:16:25", 'Lloyds Bank facing £450m loss on Admiral Taverns': Your weekend newspaper round-up http://u.mavrev.com/ar5y
0.3," 	2009-06-14 10:06:03", HSBC Mortgage Rate Matcher? http://tinyurl.com/ooyejq saw the bank manager yesterday the outcome? worth asking but ......................
-0.2," 	2009-06-14 10:09:10", HSBC scraps current account interest #free http://bit.ly/or5R2
0.1," 	2009-06-14 10:46:21", Barclays celebrates World Environment Day 2009: Barclays celebrated the World Environment Day 2009 in partnershi.. http://bit.ly/WixO5
0.1," 	2009-06-14 12:27:18", UAE tops HSBC index for trade confidence: Import export traders see Middle East as offering best short-term gro.. http://tinyurl.com/n7r4rq
0.2," 	2009-06-14 14:39:15", CBA in line for Lloyds buy-up: COMMONWEALTH Bank is reportedly in the running to buy a sizeable part of Lloyds B.. http://tinyurl.com/nlrtyd
-0.4," 	2009-06-14 20:44:09", Ugh . . . RT @TwallSt: For HSBC Big Risks Still Loom http://bit.ly/AMpZ9
0.1," 	2009-06-14 21:29:51", India vs England Natwest 2002 Final (England Batting) - http://tinyurl.com/mdrfar
-0.2," 	2009-06-14 22:10:33", RT @jamesfarrar: Natwest must be joking w their travelling mobile vans banking TV ads -- I mean really
0.1," 	2009-06-15 00:14:11", Rich investors wary of more gloom to come says Barclays Wealth report http://u.mavrev.com/avp0
0.2," 	2009-06-15 01:12:28", Lloyds set to write off £450m debt: LLOYDS Banking Group is thought to be set to write off £450 million on its i.. http://tinyurl.com/magb3k
0.2," 	2009-06-15 01:53:39", StanChart sets guidance on perpetual bond sale-source http://tinyurl.com/lyywfc
0.1," 	2009-06-15 08:32:03", HSBC segregates general banking from investment services. http://asianbankingandfinance.net/news/1054
0.1," 	2009-06-15 08:42:03", Lloyds looking for equity investor in Admiral Taverns: Lloyds Bank has been looking for a new equity investor to.. http://tinyurl.com/nkhuk4
0.1," 	2009-06-15 08:44:27", watching HSBC's Cathryn Hayes on franchising useful for those considering franchising. http://bit.ly/Ru1sG
0.1," 	2009-06-15 08:45:15", Stephen King of HSBC: We've seen a slight pick up in activity but the level of activity is still depressed. #montecarlux
0.1," 	2009-06-15 08:52:56", Technical Associate (Temporary for 12 months) HSBC Technology and Services Asia-Pacific | The Hongkong and S... | http://bit.ly/16tGAK | #it
0.1," 	2009-06-15 08:57:23", HSBC-BPO/ITES /CRM/BangaloreHyderabad | India's Best Colleges ...: HSBC Global Resourcing Centres form a vi.. http://tinyurl.com/np38nx
-0.3," 	2009-06-15 09:11:39", Lloyds Banking Group loses £450 million betting on 2000 British pubs. Executives blame the losses on their unde.. http://u.mavrev.com/ayqa
-0.6," 	2009-06-15 09:41:57", Bastards at HSBC told me that they couldn't guarantee I'd get the money back.
-0.4," 	2009-06-15 09:51:28", RT @Traceyspacey: @Mangowe Not sure that HSBC should be saying that. HSBC are pretty good at holding onto other peoples money. < Or not.
0.5," 	2009-06-15 10:17:18", Afaq Khan sees healthy prospects for Islamic finance | Opalesque ...: From Arabnews.com: Standard Chartered Bank.. http://bit.ly/IP2lo
0.2," 	2009-06-15 13:14:42", Start Shifting Investment Strategy to Offense Barclays Wealth Says: WSJ http://is.gd/12rBi
0," 	2009-06-15 13:30:48", Barclays bank. Joy!
-0.2," 	2009-06-15 13:37:47"," RT @financialtimes FT Alphaville says ""bucket please"" on adoring Sunday Times (U.K.) profile of Barclays' Diamond. http://tinyurl.com/llyg3k"
0.3," 	2009-06-15 13:46:23", New post: Risk Analysis Unit HSBC http://cli.gs/uu6Dr8
0.1," 	2009-06-15 14:08:46", HSBC Private Bank rejigs Asia management - Wealth Bulletin: HSBC Private Bank rejigs Asia managementWealth Bulle.. http://tinyurl.com/ld25mj
0," 	2009-06-15 14:20:09", [NotSoHeadlineNews] Barclays bank worker paid double by accident is told she can hold onto the money - http://is.gd/12w8x
-0.3," 	2009-06-15 14:24:02", $LLOY Lloyds Banking Group drops US customers http://ow.ly/eaE1
0.6," 	2009-06-15 16:03:25", Standard Chartered Emerges from Credit Crunch A Winner http://bit.ly/HbDL2
0.1," 	2009-06-15 16:22:53", http://bit.ly/13gx00 Energy efficiency outpacing renewable peers: HSBC
0.1," 	2009-06-15 16:23:26", Energy efficiency outperforming climate investment says HSBC: http://tinyurl.com/kmyje6
0.1," 	2009-06-15 16:33:46", Just subscribed to The Island Games newsletter RSS feed also available. www.natwestislandgames2009.ax
0.1," 	2009-06-15 16:54:27", RT @ClimateBuzz: Energy efficiency outperforming climate investment says HSBC: http://tinyurl.com/kmyje6
0.4," 	2009-06-15 17:57:02", Europe stocks close down financials weigh: However Lloyds Banking Group (LLOY.L) gained 2.3 percent after the .. http://bit.ly/KFxeJ
0," 	2009-06-15 18:02:48", @quirkytraveller Hi Zoe many thanks for the RT - any good news from Barclays?
0.4," 	2009-06-15 18:17:44", RT @goingman: Global Payments acquires remaining 49% stake in HSBC Merchant Services JV http://tinyurl.com/ldlnv5
0.3," 	2009-06-15 18:29:36", RT from @adamwerbach: Every HSBC employee gets the opportunity to go on an Earthwatch service trip -- great engagement idea.
0," 	2009-06-15 19:12:49", http://i-uk.blogspot.com/ U KAIRPORT PICKUP LONDONGUMTREEBTABBEYTHAMES WATEREBAYARGOSAMAZONNATWESTBARCLAYS
0.3," 	2009-06-15 19:35:57"," Citizens Bank is part of RBS which has been a good partner of Santander. The "" Espanoles"" said they want to buy another bank Citizens Botin"
0.3," 	2009-06-15 19:55:02", RT - #moneytip - Natwest classic credit card: Completely new to credit cards and just wanted som.. http://tinyurl.com/lea6gf
0.2," 	2009-06-15 19:59:35", WE are one of the few sponsors of Get safe On line along with most of the founding partners HM Government HSBC Microsoft Cable & Wireless
0.1," 	2009-06-15 20:57:05", Need a #job: Investment Services Representative (4 vacancies) - HSBC - Toronto ON - http://tinyurl.com/ltle2r
-0.3," 	2009-06-15 21:45:33", Looks like there's going to be a spare chair in the Barclays boardroom. http://tinyurl.com/ld6g4m
0.3," 	2009-06-16 02:36:01", StanChart sells $1.5 bln perpetual bonds - source http://r.reuters.com/ryg27c
0.2," 	2009-06-16 03:11:13", New post: LOWONGAN KERJA BANK HSBC JAKARTA INDONESIA CORPORATE BANKING AVP RISK ANALYST UNIT http://cli.gs/0ABvzW
0.3," 	2009-06-16 03:12:16", StanChart sells $1.5 bln perpetual bonds - source http://bit.ly/Fq9Sl
0.2," 	2009-06-16 03:15:27", Podcast: CPI Expected To Head South - Alvin Liew Standard Chartered Bank - http://bit.ly/1f3A1N
0.2," 	2009-06-16 03:30:33", HSBC Waiting to Raise Stake in Insurance JV http://tinyurl.com/mnwu9u
0.2," 	2009-06-16 04:13:17", 【110183558】News PM June 12 [Dongfeng Auto Jan-May Sales Down; HSBC Targets 100 Mainland Branches by Yea] http://t.caijing.com.cn/EfEvnx
0.3," 	2009-06-16 05:02:16", 【110184731】HSBC China Wins Approval for Yuan Bond Issue in Hong Kong [The bank won approval to issue yu] http://t.caijing.com.cn/EHvsHO
0.1," 	2009-06-16 06:23:39", Newark Jobs New Business Specialist - Private Client Services - HSBC Bank - Buffalo NY: Make the Rig.. http://tinyurl.com/ns9sz8
0.2," 	2009-06-16 07:28:26", Forex Signal Forex trading system: Barclays Capital sees a chance ...: Forex Signal Forex trading system. Mark.. http://bit.ly/TWsu4
0.1," 	2009-06-16 08:40:52", Few are ready for retirement: HSBC survey (http://cli.gs/T7NVUY)
0.2," 	2009-06-16 09:07:45", Barclays UK extends deadlines http://bit.ly/R7R36
0.1," 	2009-06-16 09:16:50", AT&T Telecoms Lowered By Barclays Capital http://bit.ly/9Nm9o
-0.2," 	2009-06-16 09:50:16", RT @nytimesbusiness Credit Bailout: Issuers Slash Card Bal http://bit.ly/SU9Sj - HSBC collecting less than $ owed to settle sev. delq accts.
0.1," 	2009-06-16 10:02:06", Energy efficiency outpacing renewable peers: HSBC - Reuters.. http://bit.ly/9xyE5
0.3," 	2009-06-16 10:02:16", Intriguing. RT @ sarabedford Simon Lewis good guy when I knew him at NatWest in '90s. His uni friendship with Robert Peston won't hurt!
0.1," 	2009-06-16 10:09:01", Xs2TheWorld and Ogilvy created HSBC/SA Lions Rugby App.from UK Text 'Lions' to 60999 via web click here http://bit.ly/8BFF RT @sandermobile
0.1," 	2009-06-16 10:21:27", Energy efficiency outpacing renewable peers: HSBC http://bit.ly/5T4gY
0.1," 	2009-06-16 10:28:52", HSBC belässt Deutsche Beteiligungs AG auf 'Overweight' http://tinyurl.com/lq4kxb
0.3," 	2009-06-16 10:46:32", RT @MadameButcher: Barclays Wealth makes clients go through psychometric tests to establish their appetite for risk. http://bit.ly/p3LLH
0.2," 	2009-06-16 10:48:24", Canara HSBC Oriental Bank of Commerce Life Insurance Celebrates Successful First Year of Operations http://bit.ly/18FV9f
0.1," 	2009-06-16 11:30:29", Advies: Barclays: Verizon Communications kopen. http://tinyurl.com/nqhcu6
0.1," 	2009-06-16 11:30:32", Advies: Barclays: AT&T kopen. http://tinyurl.com/ltoofy
-0.3," 	2009-06-16 13:01:47", grrr Barclays! the one time when I literally don't have a penny in my pocket and I need some cash. Get working again! #barclays
-0.4," 	2009-06-16 13:16:28", Every single Barclays cash point in the uk is down.
0.2," 	2009-06-16 13:18:35", HSBC Securities To Delist IL&FS Investsmart http://www.vccircle.com/node/5474
-0.4," 	2009-06-16 13:39:37", Whole of Barclays Bank has crashed....Not wot I need right now Guys. Advice was 2 borrow money off a friend. Thieves - this is your moment!
